country,state,city,latitude,longitude
Canada,Alberta,Airdrie,51.30011000,-114.03528000
Canada,Alberta,Athabasca,54.71687000,-113.28537000
Canada,Alberta,Banff,51.17622000,-115.56982000
Canada,Alberta,Barrhead,54.13345000,-114.40211000
Canada,Alberta,Bassano,50.78342000,-112.46854000
Canada,Alberta,Beaumont,53.35013000,-113.41871000
Canada,Alberta,Beaverlodge,55.21664000,-119.43605000
Canada,Alberta,Black Diamond,50.70011000,-114.23530000
Canada,Alberta,Blackfalds,52.38342000,-113.78530000
Canada,Alberta,Bon Accord,53.83345000,-113.41872000
Canada,Alberta,Bonnyville,54.26684000,-110.73505000
Canada,Alberta,Bow Island,49.86676000,-111.36843000
Canada,Alberta,Brooks,50.58341000,-111.88509000
Canada,Alberta,Calgary,51.05011000,-114.08529000
Canada,Alberta,Calmar,53.26683000,-113.81874000
Canada,Alberta,Camrose,53.01684000,-112.83525000
Canada,Alberta,Canmore,51.08335000,-115.35206000
Canada,Alberta,Cardston,49.19998000,-113.30190000
Canada,Alberta,Carstairs,51.56681000,-114.10200000
Canada,Alberta,Chestermere,51.03341000,-113.81867000
Canada,Alberta,Claresholm,50.03332000,-113.58524000
Canada,Alberta,Coaldale,49.71670000,-112.61854000
Canada,Alberta,Coalhurst,49.74640000,-112.93246000
Canada,Alberta,Cochrane,51.18341000,-114.46871000
Canada,Alberta,Cold Lake,54.46525000,-110.18154000
Canada,Alberta,Crossfield,51.43341000,-114.03528000
Canada,Alberta,Devon,53.36683000,-113.73533000
Canada,Alberta,Didsbury,51.66681000,-114.13529000
Canada,Alberta,Drayton Valley,53.21682000,-114.98544000
Canada,Alberta,Edmonton,53.55014000,-113.46871000
Canada,Alberta,Edson,53.58345000,-116.43559000
Canada,Alberta,Elk Point,53.90017000,-110.90170000
Canada,Alberta,Fairview,56.06675000,-118.38606000
Canada,Alberta,Falher,55.73339000,-117.20262000
Canada,Alberta,Fort Macleod,49.71671000,-113.41857000
Canada,Alberta,Fort McMurray,56.72676000,-111.38103000
Canada,Alberta,Fort Saskatchewan,53.71684000,-113.21870000
Canada,Alberta,Fox Creek,54.40007000,-116.80238000
Canada,Alberta,Gibbons,53.83345000,-113.33531000
Canada,Alberta,Grand Centre,54.41628000,-110.21304000
Canada,Alberta,Grande Cache,53.88335000,-119.13585000
Canada,Alberta,Grande Prairie,55.16667000,-118.80271000
Canada,Alberta,Grimshaw,56.18339000,-117.60270000
Canada,Alberta,Hanna,51.63343000,-111.90181000
Canada,Alberta,Heritage Pointe,50.84213000,-114.00493000
Canada,Alberta,High Level,58.51688000,-117.13605000
Canada,Alberta,High Prairie,55.43340000,-116.48580000
Canada,Alberta,High River,50.58341000,-113.86867000
Canada,Alberta,Hinton,53.40009000,-117.58567000
Canada,Alberta,Irricana,51.32372000,-113.60475000
Canada,Alberta,Jasper Park Lodge,52.88633000,-118.05625000
Canada,Alberta,Killam,52.78344000,-111.85175000
Canada,Alberta,Lac La Biche,54.76690000,-111.96861000
Canada,Alberta,Lacombe,52.46681000,-113.73530000
Canada,Alberta,Lamont,53.76686000,-112.80195000
Canada,Alberta,Larkspur,53.47942000,-113.38142000
Canada,Alberta,Laurel,53.44667000,-113.38197000
Canada,Alberta,Leduc,53.26682000,-113.55201000
Canada,Alberta,Lethbridge,49.69999000,-112.81856000
Canada,Alberta,Lloydminster,53.27237000,-110.02256000
Canada,Alberta,Magrath,49.41668000,-112.86856000
Canada,Alberta,Manning,56.91683000,-117.61945000
Canada,Alberta,Mannville,53.33764000,-111.17750000
Canada,Alberta,Maple Ridge,53.50172000,-113.36274000
Canada,Alberta,Mayerthorpe,53.95015000,-115.13547000
Canada,Alberta,Medicine Hat,50.03928000,-110.67661000
Canada,Alberta,Mill Woods Town Centre,53.45639000,-113.42751000
Canada,Alberta,Millet,53.10013000,-113.46870000
Canada,Alberta,Morinville,53.80014000,-113.65203000
Canada,Alberta,Nanton,50.35008000,-113.76866000
Canada,Alberta,Okotoks,50.72885000,-113.98281000
Canada,Alberta,Olds,51.78341000,-114.10199000
Canada,Alberta,Peace River,56.23715000,-117.29176000
Canada,Alberta,Penhold,52.13342000,-113.86870000
Canada,Alberta,Picture Butte,49.88330000,-112.78516000
Canada,Alberta,Pincher Creek,49.48328000,-113.95195000
Canada,Alberta,Ponoka,52.67680000,-113.58147000
Canada,Alberta,Provost,52.35014000,-110.26828000
Canada,Alberta,Raymond,49.44998000,-112.65185000
Canada,Alberta,Red Deer,52.26682000,-113.80200000
Canada,Alberta,Rideau Park,53.47899000,-113.50470000
Canada,Alberta,Rimbey,52.63340000,-114.23532000
Canada,Alberta,Rocky Mountain House,52.36683000,-114.91880000
Canada,Alberta,Sexsmith,55.34998000,-118.78602000
Canada,Alberta,Sherwood Park,53.51684000,-113.31870000
Canada,Alberta,Silver Berry,53.45787000,-113.38170000
Canada,Alberta,Slave Lake,55.28344000,-114.76896000
Canada,Alberta,Smoky Lake,54.11687000,-112.46863000
Canada,Alberta,Spirit River,55.78327000,-118.83607000
Canada,Alberta,Springbrook,52.17920000,-113.87981000
Canada,Alberta,Spruce Grove,53.53344000,-113.91874000
Canada,Alberta,St. Albert,53.63344000,-113.63533000
Canada,Alberta,Stettler,52.31683000,-112.71861000
Canada,Alberta,Stony Plain,53.53343000,-114.00205000
Canada,Alberta,Strathmore,51.05011000,-113.38523000
Canada,Alberta,Sundre,51.80010000,-114.63532000
Canada,Alberta,Swan Hills,54.71681000,-115.40226000
Canada,Alberta,Sylvan Lake,52.31100000,-114.08375000
Canada,Alberta,Taber,49.78703000,-112.14603000
Canada,Alberta,Tamarack,53.46441000,-113.36235000
Canada,Alberta,Three Hills,51.70012000,-113.26863000
Canada,Alberta,Tofield,53.36684000,-112.66862000
Canada,Alberta,Two Hills,53.71686000,-111.75181000
Canada,Alberta,Valleyview,55.06673000,-117.28585000
Canada,Alberta,Vegreville,53.50015000,-112.05182000
Canada,Alberta,Vermilion,53.35409000,-110.85849000
Canada,Alberta,Viking,53.10014000,-111.76844000
Canada,Alberta,Vulcan,50.40008000,-113.25189000
Canada,Alberta,Wainwright,52.83482000,-110.85342000
Canada,Alberta,Wembley,55.14995000,-119.13602000
Canada,Alberta,Westlake,55.22228000,-118.80415000
Canada,Alberta,Westlock,54.15016000,-113.86876000
Canada,Alberta,Wetaskiwin,52.96683000,-113.36869000
Canada,Alberta,Whitecourt,54.15015000,-115.68548000
Canada,Alberta,Wild Rose,53.47080000,-113.38119000
Canada,British Columbia,Abbotsford,49.05798000,-122.25257000
Canada,British Columbia,Agassiz,49.23298000,-121.76926000
Canada,British Columbia,Aldergrove,49.05801000,-122.47087000
Canada,British Columbia,Aldergrove East,49.05593000,-122.42299000
Canada,British Columbia,Anmore,49.31637000,-122.85263000
Canada,British Columbia,Arbutus Ridge,49.24966000,-123.16934000
Canada,British Columbia,Armstrong,50.44979000,-119.20235000
Canada,British Columbia,Ashcroft,50.72372000,-121.28207000
Canada,British Columbia,Barrière,51.18308000,-120.11920000
Canada,British Columbia,Bowen Island,49.38470000,-123.33622000
Canada,British Columbia,Burnaby,49.26636000,-122.95263000
Canada,British Columbia,Burns Lake,54.22972000,-125.76084000
Canada,British Columbia,Cache Creek,50.81011000,-121.32460000
Canada,British Columbia,Campbell River,50.01634000,-125.24459000
Canada,British Columbia,Castlegar,49.32317000,-117.65831000
Canada,British Columbia,Cedar,49.11633000,-123.85270000
Canada,British Columbia,Central Coast Regional District,52.16638000,-127.00323000
Canada,British Columbia,Chase,50.81650000,-119.68571000
Canada,British Columbia,Chemainus,48.91633000,-123.71937000
Canada,British Columbia,Chetwynd,55.69988000,-121.63627000
Canada,British Columbia,Chilliwack,49.16638000,-121.95257000
Canada,British Columbia,Colwood,48.43293000,-123.48591000
Canada,British Columbia,Coombs,49.29963000,-124.41946000
Canada,British Columbia,Coquitlam,49.28460000,-122.78217000
Canada,British Columbia,Courtenay,49.68657000,-124.99360000
Canada,British Columbia,Cowichan Bay,48.73366000,-123.61739000
Canada,British Columbia,Cranbrook,49.49991000,-115.76879000
Canada,British Columbia,Creston,49.09987000,-116.50211000
Canada,British Columbia,Cumberland,49.61634000,-125.03613000
Canada,British Columbia,Dawson Creek,55.75984000,-120.24030000
Canada,British Columbia,Delta,49.14399000,-122.90680000
Canada,British Columbia,Denman Island,49.53294000,-124.81950000
Canada,British Columbia,Denman Island Trust Area,49.55189000,-124.79881000
Canada,British Columbia,Duck Lake,50.00880000,-119.39672000
Canada,British Columbia,Duncan,48.78293000,-123.70266000
Canada,British Columbia,East Wellington,49.17385000,-124.01745000
Canada,British Columbia,Elkford,50.05007000,-114.88540000
Canada,British Columbia,Ellison,49.93307000,-119.36907000
Canada,British Columbia,Enderby,50.54980000,-119.15234000
Canada,British Columbia,Fairwinds,49.27588000,-124.12782000
Canada,British Columbia,Fernie,49.49996000,-115.06871000
Canada,British Columbia,Fort Nelson,58.80533000,-122.70020000
Canada,British Columbia,Fort St. John,56.24988000,-120.85292000
Canada,British Columbia,Fraser Valley Regional District,49.58299000,-121.83587000
Canada,British Columbia,French Creek,49.34123000,-124.35541000
Canada,British Columbia,Fruitvale,49.11654000,-117.55222000
Canada,British Columbia,Gibsons,49.39539000,-123.50555000
Canada,British Columbia,Golden,51.29995000,-116.96890000
Canada,British Columbia,Grand Forks,49.03309000,-118.43560000
Canada,British Columbia,Hanceville,51.91922000,-123.04458000
Canada,British Columbia,Hope,49.38299000,-121.44144000
Canada,British Columbia,Hornby Island,49.53448000,-124.66923000
Canada,British Columbia,Houston,54.39976000,-126.67008000
Canada,British Columbia,Invermere,50.51666000,-116.03538000
Canada,British Columbia,Kamloops,50.66648000,-120.31920000
Canada,British Columbia,Kelowna,49.88307000,-119.48568000
Canada,British Columbia,Kimberley,49.67071000,-115.97760000
Canada,British Columbia,Kitimat,54.05244000,-128.65342000
Canada,British Columbia,Ladner,49.08938000,-123.08241000
Canada,British Columbia,Ladysmith,48.99016000,-123.81699000
Canada,British Columbia,Lake Cowichan,48.82495000,-124.05461000
Canada,British Columbia,Langford,48.44963000,-123.50261000
Canada,British Columbia,Langley,49.10107000,-122.65883000
Canada,British Columbia,Lillooet,50.68560000,-121.94200000
Canada,British Columbia,Lions Bay,49.45218000,-123.23760000
Canada,British Columbia,Logan Lake,50.49976000,-120.80253000
Canada,British Columbia,Lumby,50.24979000,-118.96904000
Canada,British Columbia,Mackenzie,55.33637000,-123.09374000
Canada,British Columbia,Maple Ridge,49.21939000,-122.60193000
Canada,British Columbia,Merritt,50.11225000,-120.79420000
Canada,British Columbia,Metchosin,48.38293000,-123.53591000
Canada,British Columbia,Metro Vancouver Regional District,49.33296000,-123.00264000
Canada,British Columbia,Mission,49.13298000,-122.30258000
Canada,British Columbia,Nakusp,50.24987000,-117.80226000
Canada,British Columbia,Nanaimo,49.16638000,-123.94003000
Canada,British Columbia,Nelson,49.49985000,-117.28553000
Canada,British Columbia,New Westminster,49.20678000,-122.91092000
Canada,British Columbia,North Cowichan,48.84133000,-123.68596000
Canada,British Columbia,North Oyster/Yellow Point,49.04807000,-123.83395000
Canada,British Columbia,North Saanich,48.66634000,-123.41933000
Canada,British Columbia,North Vancouver,49.31636000,-123.06934000
Canada,British Columbia,Oak Bay,48.44964000,-123.30260000
Canada,British Columbia,Okanagan,50.36386000,-119.34997000
Canada,British Columbia,Okanagan Falls,49.35000000,-119.56667000
Canada,British Columbia,Oliver,49.18306000,-119.55240000
Canada,British Columbia,Osoyoos,49.03306000,-119.45237000
Canada,British Columbia,Parksville,49.31947000,-124.31575000
Canada,British Columbia,Peace River Regional District,56.66650000,-122.75302000
Canada,British Columbia,Peachland,49.76647000,-119.73568000
Canada,British Columbia,Pemberton,50.31641000,-122.80273000
Canada,British Columbia,Penticton,49.48062000,-119.58584000
Canada,British Columbia,Pitt Meadows,49.22119000,-122.68965000
Canada,British Columbia,Port Alberni,49.24133000,-124.80280000
Canada,British Columbia,Port Coquitlam,49.26637000,-122.76932000
Canada,British Columbia,Port McNeill,50.58716000,-127.08053000
Canada,British Columbia,Port Moody,49.28124000,-122.82457000
Canada,British Columbia,Powell River,49.83278000,-124.52368000
Canada,British Columbia,Prince George,53.91660000,-122.75301000
Canada,British Columbia,Prince Rupert,54.31507000,-130.32098000
Canada,British Columbia,Princeton,49.45802000,-120.51076000
Canada,British Columbia,Puntledge,49.66168000,-125.05686000
Canada,British Columbia,Quesnel,52.97842000,-122.49310000
Canada,British Columbia,Regional District of Alberni-Clayoquot,49.24962000,-125.33615000
Canada,British Columbia,Regional District of Central Okanagan,49.99978000,-119.41908000
Canada,British Columbia,Revelstoke,50.99712000,-118.19530000
Canada,British Columbia,Richmond,49.17003000,-123.13683000
Canada,British Columbia,Rossland,49.08313000,-117.80224000
Canada,British Columbia,Royston,49.64703000,-124.94670000
Canada,British Columbia,Salmo,49.19986000,-117.26890000
Canada,British Columbia,Salmon Arm,50.69980000,-119.30237000
Canada,British Columbia,Salt Spring Island,48.81852000,-123.49061000
Canada,British Columbia,Saltair,48.94963000,-123.76939000
Canada,British Columbia,Sechelt,49.47512000,-123.75903000
Canada,British Columbia,Sicamous,50.83312000,-118.98565000
Canada,British Columbia,Six Mile,48.45767000,-123.46088000
Canada,British Columbia,Smithers,54.78036000,-127.17428000
Canada,British Columbia,Sooke,48.37463000,-123.72762000
Canada,British Columbia,South Pender Harbour,49.62202000,-124.02484000
Canada,British Columbia,Sparwood,49.73332000,-114.88532000
Canada,British Columbia,Summerland,49.59977000,-119.66911000
Canada,British Columbia,Surrey,49.10635000,-122.82509000
Canada,British Columbia,Terrace,54.51634000,-128.60345000
Canada,British Columbia,Tofino,49.15314000,-125.90744000
Canada,British Columbia,Trail,49.09983000,-117.70223000
Canada,British Columbia,Tsawwassen,49.01667000,-123.08333000
Canada,British Columbia,Tumbler Ridge,55.13027000,-120.99415000
Canada,British Columbia,Ucluelet,48.94153000,-125.54635000
Canada,British Columbia,Vancouver,49.24966000,-123.11934000
Canada,British Columbia,Vanderhoof,54.01657000,-124.01982000
Canada,British Columbia,Vernon,50.26729000,-119.27337000
Canada,British Columbia,Victoria,48.43590000,-123.35155000
Canada,British Columbia,Walnut Grove,49.16473000,-122.64042000
Canada,British Columbia,Welcome Beach,49.47959000,-123.89239000
Canada,British Columbia,West End,49.28333000,-123.13333000
Canada,British Columbia,West Kelowna,49.86250000,-119.58333000
Canada,British Columbia,West Vancouver,49.36672000,-123.16652000
Canada,British Columbia,Whistler,50.11817000,-122.95396000
Canada,British Columbia,White Rock,49.01636000,-122.80260000
Canada,British Columbia,Williams Lake,52.14153000,-122.14451000
Canada,Manitoba,Altona,49.10469000,-97.55961000
Canada,Manitoba,Beausejour,50.06220000,-96.51669000
Canada,Manitoba,Boissevain,49.23062000,-100.05586000
Canada,Manitoba,Brandon,49.84692000,-99.95306000
Canada,Manitoba,Carberry,49.86893000,-99.36021000
Canada,Manitoba,Carman,49.49920000,-98.00156000
Canada,Manitoba,Cross Lake 19A,54.65135000,-97.76848000
Canada,Manitoba,Dauphin,51.14941000,-100.05023000
Canada,Manitoba,De Salaberry,49.39999000,-97.00894000
Canada,Manitoba,Deloraine,49.19082000,-100.49477000
Canada,Manitoba,Flin Flon,54.76703000,-101.87433000
Canada,Manitoba,Gimli,50.63362000,-96.99066000
Canada,Manitoba,Grunthal,49.40668000,-96.85873000
Canada,Manitoba,Headingley,49.87530000,-97.40896000
Canada,Manitoba,Ile des Chênes,49.71060000,-96.98893000
Canada,Manitoba,Killarney,49.18332000,-99.66364000
Canada,Manitoba,La Broquerie,49.51688000,-96.50029000
Canada,Manitoba,Lac du Bonnet,50.25360000,-96.06116000
Canada,Manitoba,Landmark,49.67169000,-96.82232000
Canada,Manitoba,Lorette,49.73919000,-96.87232000
Canada,Manitoba,Melita,49.26811000,-100.99669000
Canada,Manitoba,Minnedosa,50.24532000,-99.84364000
Canada,Manitoba,Moose Lake,49.20559000,-95.30629000
Canada,Manitoba,Morden,49.19190000,-98.10136000
Canada,Manitoba,Morris,49.35499000,-97.36567000
Canada,Manitoba,Neepawa,50.22892000,-99.46642000
Canada,Manitoba,Niverville,49.60559000,-97.04234000
Canada,Manitoba,Portage la Prairie,49.97282000,-98.29263000
Canada,Manitoba,Rivers,50.03081000,-100.24029000
Canada,Manitoba,Roblin,51.22999000,-101.35650000
Canada,Manitoba,Selkirk,50.14360000,-96.88452000
Canada,Manitoba,Shilo,49.80509000,-99.63175000
Canada,Manitoba,Souris,49.61720000,-100.26120000
Canada,Manitoba,St. Adolphe,49.67440000,-97.11124000
Canada,Manitoba,Steinbach,49.52579000,-96.68451000
Canada,Manitoba,Stonewall,50.13441000,-97.32676000
Canada,Manitoba,Swan River,52.10580000,-101.26759000
Canada,Manitoba,The Pas,53.82509000,-101.25413000
Canada,Manitoba,Thompson,55.74350000,-97.85579000
Canada,Manitoba,Virden,49.85080000,-100.93262000
Canada,Manitoba,West St. Paul,49.99940000,-97.16284000
Canada,Manitoba,Winkler,49.18170000,-97.94104000
Canada,Manitoba,Winnipeg,49.88440000,-97.14704000
Canada,New Brunswick,Baie Ste. Anne,47.05231000,-64.95355000
Canada,New Brunswick,Bathurst,47.61814000,-65.65112000
Canada,New Brunswick,Bouctouche,46.46844000,-64.73905000
Canada,New Brunswick,Campbellton,48.00751000,-66.67272000
Canada,New Brunswick,Dieppe,46.07844000,-64.68735000
Canada,New Brunswick,Edmundston,47.37370000,-68.32512000
Canada,New Brunswick,Florenceville-Bristol,46.44353000,-67.61536000
Canada,New Brunswick,Fredericton,45.94541000,-66.66558000
Canada,New Brunswick,Fundy Bay,44.74100000,-66.76041000
Canada,New Brunswick,Grande-Digue,46.30014000,-64.56546000
Canada,New Brunswick,Greater Lakeburn,46.07651000,-64.66818000
Canada,New Brunswick,Hampton,45.52876000,-65.85354000
Canada,New Brunswick,Harrison Brook,47.21304000,-67.92847000
Canada,New Brunswick,Keswick Ridge,46.00011000,-66.88218000
Canada,New Brunswick,Lincoln,45.90012000,-66.58218000
Canada,New Brunswick,Lutes Mountain,46.13544000,-64.90504000
Canada,New Brunswick,McEwen,46.14520000,-64.78615000
Canada,New Brunswick,Miramichi,47.02895000,-65.50186000
Canada,New Brunswick,Moncton,46.09454000,-64.79650000
Canada,New Brunswick,Nackawic,45.99666000,-67.24028000
Canada,New Brunswick,New Maryland,45.87932000,-66.66828000
Canada,New Brunswick,Noonan,45.96682000,-66.53218000
Canada,New Brunswick,Oromocto,45.83512000,-66.47917000
Canada,New Brunswick,Richibucto,46.68073000,-64.88044000
Canada,New Brunswick,Sackville,45.91875000,-64.38455000
Canada,New Brunswick,Saint Andrews,45.07370000,-67.05312000
Canada,New Brunswick,Saint John,45.27271000,-66.06766000
Canada,New Brunswick,Saint-Antoine,46.36294000,-64.74985000
Canada,New Brunswick,Saint-Léonard,47.16317000,-67.92460000
Canada,New Brunswick,Salisbury,46.03905000,-65.04628000
Canada,New Brunswick,Shediac,46.21981000,-64.54107000
Canada,New Brunswick,Shediac Bridge-Shediac River,46.26886000,-64.60047000
Canada,New Brunswick,Shippagan,47.74424000,-64.70804000
Canada,New Brunswick,Starlight Village,45.88308000,-66.76905000
Canada,New Brunswick,Sussex,45.72266000,-65.50663000
Canada,New Brunswick,Tracadie-Sheila,47.51444000,-64.91806000
Canada,New Brunswick,Wells,45.39274000,-65.92313000
Canada,Newfoundland and Labrador,Bay Roberts,47.59989000,-53.26478000
Canada,Newfoundland and Labrador,Bay St. George South,48.22781000,-58.84162000
Canada,Newfoundland and Labrador,Bonavista,48.64989000,-53.11474000
Canada,Newfoundland and Labrador,Botwood,49.14994000,-55.34819000
Canada,Newfoundland and Labrador,Burgeo,47.61668000,-57.61516000
Canada,Newfoundland and Labrador,Carbonear,47.73319000,-53.21478000
Canada,Newfoundland and Labrador,Catalina,48.51659000,-53.08135000
Canada,Newfoundland and Labrador,Channel-Port aux Basques,47.57286000,-59.13808000
Canada,Newfoundland and Labrador,Clarenville-Shoal Harbour,48.18050000,-53.96982000
